[0, '=252', 'Roi[Traced,', 'x=34,', 'y=0,', 'width=28,', 'height=12]']
[1, '=446', 'Roi[Traced,', 'x=81,', 'y=0,', 'width=26,', 'height=21]']
[2, '=144', 'Roi[Traced,', 'x=112,', 'y=0,', 'width=24,', 'height=9]']
[3, '=408', 'Roi[Traced,', 'x=151,', 'y=0,', 'width=23,', 'height=23]']
[4, '=48', 'Roi[Traced,', 'x=183,', 'y=0,', 'width=18,', 'height=4]']
[5, '=149', 'Roi[Traced,', 'x=226,', 'y=0,', 'width=22,', 'height=9]']
[6, '=115', 'Roi[Traced,', 'x=245,', 'y=0,', 'width=21,', 'height=9]']
[7, '=283', 'Roi[Traced,', 'x=302,', 'y=0,', 'width=28,', 'height=13]']
[8, '=95', 'Roi[Traced,', 'x=343,', 'y=0,', 'width=21,', 'height=6]']
[9, '=74', 'Roi[Traced,', 'x=375,', 'y=0,', 'width=14,', 'height=9]']
[10, '=179', 'Roi[Traced,', 'x=384,', 'y=0,', 'width=18,', 'height=14]']
[11, '=145', 'Roi[Traced,', 'x=409,', 'y=0,', 'width=22,', 'height=9]']
[12, '=253', 'Roi[Traced,', 'x=432,', 'y=0,', 'width=28,', 'height=13]']
[13, '=341', 'Roi[Traced,', 'x=500,', 'y=0,', 'width=27,', 'height=19]']
[14, '=439', 'Roi[Traced,', 'x=547,', 'y=0,', 'width=31,', 'height=17]']
[15, '=236', 'Roi[Traced,', 'x=0,', 'y=2,', 'width=16,', 'height=29]']
[16, '=402', 'Roi[Traced,', 'x=468,', 'y=4,', 'width=26,', 'height=27]']
[17, '=273', 'Roi[Traced,', 'x=437,', 'y=10,', 'width=23,', 'height=17]']
[18, '=541', 'Roi[Traced,', 'x=382,', 'y=13,', 'width=31,', 'height=31]']
[19, '=388', 'Roi[Traced,', 'x=49,', 'y=15,', 'width=25,', 'height=23]']
[20, '=33', 'Roi[Traced,', 'x=244,', 'y=16,', 'width=5,', 'height=7]']
[21, '=395', 'Roi[Traced,', 'x=263,', 'y=17,', 'width=28,', 'height=27]']
[22, '=186', 'Roi[Traced,', 'x=572,', 'y=17,', 'width=17,', 'height=19]']
[23, '=471', 'Roi[Traced,', 'x=308,', 'y=20,', 'width=27,', 'height=25]']
[24, '=192', 'Roi[Traced,', 'x=561,', 'y=21,', 'width=19,', 'height=20]']
[25, '=433', 'Roi[Traced,', 'x=494,', 'y=22,', 'width=29,', 'height=27]']
[26, '=583', 'Roi[Traced,', 'x=164,', 'y=29,', 'width=27,', 'height=29]']
[27, '=555', 'Roi[Traced,', 'x=359,', 'y=31,', 'width=30,', 'height=28]']
[28, '=350', 'Roi[Traced,', 'x=584,', 'y=34,', 'width=16,', 'height=27]']
[29, '=391', 'Roi[Traced,', 'x=467,', 'y=38,', 'width=26,', 'height=26]']
[30, '=441', 'Roi[Traced,', 'x=32,', 'y=39,', 'width=24,', 'height=27]']
[31, '=129', 'Roi[Traced,', 'x=127,', 'y=40,', 'width=13,', 'height=15]']
[32, '=236', 'Roi[Traced,', 'x=137,', 'y=40,', 'width=20,', 'height=22]']
[33, '=588', 'Roi[Traced,', 'x=542,', 'y=42,', 'width=29,', 'height=27]']
[34, '=357', 'Roi[Traced,', 'x=421,', 'y=43,', 'width=22,', 'height=22]']
[35, '=361', 'Roi[Traced,', 'x=209,', 'y=44,', 'width=25,', 'height=22]']
[36, '=398', 'Roi[Traced,', 'x=256,', 'y=47,', 'width=26,', 'height=25]']
[37, '=259', 'Roi[Traced,', 'x=84,', 'y=48,', 'width=21,', 'height=21]']
[38, '=465', 'Roi[Traced,', 'x=332,', 'y=50,', 'width=29,', 'height=25]']
[39, '=491', 'Roi[Traced,', 'x=507,', 'y=54,', 'width=26,', 'height=25]']
[40, '=339', 'Roi[Traced,', 'x=7,', 'y=55,', 'width=22,', 'height=21]']
[41, '=136', 'Roi[Traced,', 'x=112,', 'y=58,', 'width=15,', 'height=13]']
[42, '=494', 'Roi[Traced,', 'x=59,', 'y=60,', 'width=24,', 'height=33]']
[43, '=59', 'Roi[Traced,', 'x=383,', 'y=61,', 'width=9,', 'height=9]']
[44, '=415', 'Roi[Traced,', 'x=227,', 'y=62,', 'width=26,', 'height=24]']
[45, '=442', 'Roi[Traced,', 'x=305,', 'y=64,', 'width=26,', 'height=29]']
[46, '=411', 'Roi[Traced,', 'x=111,', 'y=65,', 'width=26,', 'height=25]']
[47, '=327', 'Roi[Traced,', 'x=183,', 'y=66,', 'width=22,', 'height=21]']
[48, '=427', 'Roi[Traced,', 'x=433,', 'y=67,', 'width=25,', 'height=29]']
[49, '=441', 'Roi[Traced,', 'x=361,', 'y=69,', 'width=27,', 'height=24]']
[50, '=8', 'Roi[Traced,', 'x=538,', 'y=69,', 'width=4,', 'height=2]']
[51, '=496', 'Roi[Traced,', 'x=557,', 'y=70,', 'width=32,', 'height=25]']
[52, '=587', 'Roi[Traced,', 'x=152,', 'y=74,', 'width=30,', 'height=26]']
[53, '=556', 'Roi[Traced,', 'x=272,', 'y=74,', 'width=29,', 'height=30]']
[54, '=445', 'Roi[Traced,', 'x=392,', 'y=80,', 'width=26,', 'height=28]']
[55, '=153', 'Roi[Traced,', 'x=8,', 'y=82,', 'width=14,', 'height=17]']
[56, '=258', 'Roi[Traced,', 'x=14,', 'y=82,', 'width=21,', 'height=22]']
[57, '=595', 'Roi[Traced,', 'x=492,', 'y=83,', 'width=29,', 'height=27]']
[58, '=820', 'Roi[Traced,', 'x=568,', 'y=87,', 'width=32,', 'height=42]']
