[0, 'area=743', 'Roi[Traced,', 'x=30,', 'y=30,', 'width=30,', 'height=30]']
[1, 'area=734', 'Roi[Traced,', 'x=61,', 'y=30,', 'width=29,', 'height=30]']
[2, 'area=734', 'Roi[Traced,', 'x=91,', 'y=30,', 'width=29,', 'height=30]']
[3, 'area=734', 'Roi[Traced,', 'x=121,', 'y=30,', 'width=29,', 'height=30]']
[4, 'area=734', 'Roi[Traced,', 'x=151,', 'y=30,', 'width=29,', 'height=30]']
[5, 'area=734', 'Roi[Traced,', 'x=181,', 'y=30,', 'width=29,', 'height=30]']
[6, 'area=734', 'Roi[Traced,', 'x=211,', 'y=30,', 'width=29,', 'height=30]']
[7, 'area=734', 'Roi[Traced,', 'x=241,', 'y=30,', 'width=29,', 'height=30]']
[8, 'area=734', 'Roi[Traced,', 'x=271,', 'y=30,', 'width=29,', 'height=30]']
[9, 'area=734', 'Roi[Traced,', 'x=301,', 'y=30,', 'width=29,', 'height=30]']
[10, 'area=734', 'Roi[Traced,', 'x=331,', 'y=30,', 'width=29,', 'height=30]']
[11, 'area=734', 'Roi[Traced,', 'x=361,', 'y=30,', 'width=29,', 'height=30]']
[12, 'area=734', 'Roi[Traced,', 'x=391,', 'y=30,', 'width=29,', 'height=30]']
[13, 'area=734', 'Roi[Traced,', 'x=421,', 'y=30,', 'width=29,', 'height=30]']
[14, 'area=743', 'Roi[Traced,', 'x=451,', 'y=30,', 'width=30,', 'height=30]']
[15, 'area=734', 'Roi[Traced,', 'x=30,', 'y=61,', 'width=30,', 'height=29]']
[16, 'area=725', 'Roi[Traced,', 'x=61,', 'y=61,', 'width=29,', 'height=29]']
[17, 'area=725', 'Roi[Traced,', 'x=91,', 'y=61,', 'width=29,', 'height=29]']
[18, 'area=725', 'Roi[Traced,', 'x=121,', 'y=61,', 'width=29,', 'height=29]']
[19, 'area=725', 'Roi[Traced,', 'x=151,', 'y=61,', 'width=29,', 'height=29]']
[20, 'area=725', 'Roi[Traced,', 'x=181,', 'y=61,', 'width=29,', 'height=29]']
[21, 'area=725', 'Roi[Traced,', 'x=211,', 'y=61,', 'width=29,', 'height=29]']
[22, 'area=725', 'Roi[Traced,', 'x=241,', 'y=61,', 'width=29,', 'height=29]']
[23, 'area=725', 'Roi[Traced,', 'x=271,', 'y=61,', 'width=29,', 'height=29]']
[24, 'area=725', 'Roi[Traced,', 'x=301,', 'y=61,', 'width=29,', 'height=29]']
[25, 'area=725', 'Roi[Traced,', 'x=331,', 'y=61,', 'width=29,', 'height=29]']
[26, 'area=725', 'Roi[Traced,', 'x=361,', 'y=61,', 'width=29,', 'height=29]']
[27, 'area=725', 'Roi[Traced,', 'x=391,', 'y=61,', 'width=29,', 'height=29]']
[28, 'area=725', 'Roi[Traced,', 'x=421,', 'y=61,', 'width=29,', 'height=29]']
[29, 'area=734', 'Roi[Traced,', 'x=451,', 'y=61,', 'width=30,', 'height=29]']
[30, 'area=734', 'Roi[Traced,', 'x=30,', 'y=91,', 'width=30,', 'height=29]']
[31, 'area=725', 'Roi[Traced,', 'x=61,', 'y=91,', 'width=29,', 'height=29]']
[32, 'area=725', 'Roi[Traced,', 'x=91,', 'y=91,', 'width=29,', 'height=29]']
[33, 'area=725', 'Roi[Traced,', 'x=121,', 'y=91,', 'width=29,', 'height=29]']
[34, 'area=725', 'Roi[Traced,', 'x=151,', 'y=91,', 'width=29,', 'height=29]']
[35, 'area=725', 'Roi[Traced,', 'x=181,', 'y=91,', 'width=29,', 'height=29]']
[36, 'area=725', 'Roi[Traced,', 'x=211,', 'y=91,', 'width=29,', 'height=29]']
[37, 'area=725', 'Roi[Traced,', 'x=241,', 'y=91,', 'width=29,', 'height=29]']
[38, 'area=725', 'Roi[Traced,', 'x=271,', 'y=91,', 'width=29,', 'height=29]']
[39, 'area=725', 'Roi[Traced,', 'x=301,', 'y=91,', 'width=29,', 'height=29]']
[40, 'area=725', 'Roi[Traced,', 'x=331,', 'y=91,', 'width=29,', 'height=29]']
[41, 'area=725', 'Roi[Traced,', 'x=361,', 'y=91,', 'width=29,', 'height=29]']
[42, 'area=725', 'Roi[Traced,', 'x=391,', 'y=91,', 'width=29,', 'height=29]']
[43, 'area=725', 'Roi[Traced,', 'x=421,', 'y=91,', 'width=29,', 'height=29]']
[44, 'area=734', 'Roi[Traced,', 'x=451,', 'y=91,', 'width=30,', 'height=29]']
[45, 'area=734', 'Roi[Traced,', 'x=30,', 'y=121,', 'width=30,', 'height=29]']
[46, 'area=725', 'Roi[Traced,', 'x=61,', 'y=121,', 'width=29,', 'height=29]']
[47, 'area=725', 'Roi[Traced,', 'x=91,', 'y=121,', 'width=29,', 'height=29]']
[48, 'area=725', 'Roi[Traced,', 'x=121,', 'y=121,', 'width=29,', 'height=29]']
[49, 'area=725', 'Roi[Traced,', 'x=151,', 'y=121,', 'width=29,', 'height=29]']
