[0, 'area=73', 'Roi[Traced,', 'x=6,', 'y=0,', 'width=11,', 'height=11]']
[1, 'area=115', 'Roi[Traced,', 'x=18,', 'y=0,', 'width=10,', 'height=14]']
[2, 'area=31', 'Roi[Traced,', 'x=47,', 'y=0,', 'width=15,', 'height=3]']
[3, 'area=44', 'Roi[Traced,', 'x=63,', 'y=0,', 'width=14,', 'height=5]']
[4, 'area=52', 'Roi[Traced,', 'x=78,', 'y=0,', 'width=9,', 'height=7]']
[5, 'area=16', 'Roi[Traced,', 'x=95,', 'y=0,', 'width=8,', 'height=3]']
[6, 'area=17', 'Roi[Traced,', 'x=110,', 'y=0,', 'width=4,', 'height=5]']
[7, 'area=20', 'Roi[Traced,', 'x=197,', 'y=0,', 'width=7,', 'height=4]']
[8, 'area=147', 'Roi[Traced,', 'x=217,', 'y=0,', 'width=20,', 'height=12]']
[9, 'area=102', 'Roi[Traced,', 'x=250,', 'y=0,', 'width=19,', 'height=7]']
[10, 'area=60', 'Roi[Traced,', 'x=279,', 'y=0,', 'width=15,', 'height=8]']
[11, 'area=114', 'Roi[Traced,', 'x=358,', 'y=0,', 'width=17,', 'height=11]']
[12, 'area=17', 'Roi[Traced,', 'x=392,', 'y=0,', 'width=6,', 'height=3]']
[13, 'area=139', 'Roi[Traced,', 'x=398,', 'y=0,', 'width=20,', 'height=10]']
[14, 'area=26', 'Roi[Traced,', 'x=479,', 'y=0,', 'width=8,', 'height=5]']
[15, 'area=7', 'Roi[Traced,', 'x=317,', 'y=2,', 'width=3,', 'height=3]']
[16, 'area=47', 'Roi[Traced,', 'x=468,', 'y=2,', 'width=9,', 'height=8]']
[17, 'area=114', 'Roi[Traced,', 'x=145,', 'y=3,', 'width=19,', 'height=10]']
[18, 'area=138', 'Roi[Traced,', 'x=422,', 'y=3,', 'width=19,', 'height=12]']
[19, 'area=119', 'Roi[Traced,', 'x=442,', 'y=3,', 'width=16,', 'height=11]']
[20, 'area=47', 'Roi[Traced,', 'x=62,', 'y=4,', 'width=8,', 'height=10]']
[21, 'area=239', 'Roi[Traced,', 'x=264,', 'y=4,', 'width=17,', 'height=21]']
[22, 'area=93', 'Roi[Traced,', 'x=285,', 'y=5,', 'width=11,', 'height=11]']
[23, 'area=166', 'Roi[Traced,', 'x=70,', 'y=6,', 'width=17,', 'height=20]']
[24, 'area=147', 'Roi[Traced,', 'x=179,', 'y=6,', 'width=14,', 'height=15]']
[25, 'area=18', 'Roi[Traced,', 'x=215,', 'y=6,', 'width=5,', 'height=5]']
[26, 'area=50', 'Roi[Traced,', 'x=43,', 'y=7,', 'width=7,', 'height=11]']
[27, 'area=25', 'Roi[Traced,', 'x=92,', 'y=7,', 'width=6,', 'height=6]']
[28, 'area=136', 'Roi[Traced,', 'x=297,', 'y=7,', 'width=16,', 'height=15]']
[29, 'area=17', 'Roi[Traced,', 'x=485,', 'y=7,', 'width=3,', 'height=7]']
[30, 'area=118', 'Roi[Traced,', 'x=163,', 'y=9,', 'width=14,', 'height=15]']
[31, 'area=231', 'Roi[Traced,', 'x=234,', 'y=11,', 'width=22,', 'height=18]']
[32, 'area=99', 'Roi[Traced,', 'x=402,', 'y=11,', 'width=13,', 'height=10]']
[33, 'area=50', 'Roi[Traced,', 'x=100,', 'y=12,', 'width=9,', 'height=8]']
[34, 'area=288', 'Roi[Traced,', 'x=193,', 'y=12,', 'width=23,', 'height=21]']
[35, 'area=88', 'Roi[Traced,', 'x=227,', 'y=12,', 'width=13,', 'height=11]']
[36, 'area=160', 'Roi[Traced,', 'x=449,', 'y=13,', 'width=13,', 'height=19]']
[37, 'area=19', 'Roi[Traced,', 'x=114,', 'y=14,', 'width=6,', 'height=5]']
[38, 'area=66', 'Roi[Traced,', 'x=21,', 'y=15,', 'width=12,', 'height=7]']
[39, 'area=105', 'Roi[Traced,', 'x=379,', 'y=15,', 'width=12,', 'height=12]']
[40, 'area=63', 'Roi[Traced,', 'x=481,', 'y=15,', 'width=7,', 'height=13]']
[41, 'area=134', 'Roi[Traced,', 'x=324,', 'y=16,', 'width=17,', 'height=14]']
[42, 'area=81', 'Roi[Traced,', 'x=130,', 'y=18,', 'width=11,', 'height=12]']
[43, 'area=23', 'Roi[Traced,', 'x=302,', 'y=19,', 'width=7,', 'height=5]']
[44, 'area=316', 'Roi[Traced,', 'x=35,', 'y=20,', 'width=26,', 'height=22]']
[45, 'area=22', 'Roi[Traced,', 'x=346,', 'y=20,', 'width=5,', 'height=5]']
[46, 'area=114', 'Roi[Traced,', 'x=353,', 'y=21,', 'width=16,', 'height=11]']
[47, 'area=89', 'Roi[Traced,', 'x=469,', 'y=21,', 'width=11,', 'height=11]']
[48, 'area=61', 'Roi[Traced,', 'x=0,', 'y=22,', 'width=9,', 'height=9]']
[49, 'area=13', 'Roi[Traced,', 'x=94,', 'y=22,', 'width=4,', 'height=4]']
[50, 'area=155', 'Roi[Traced,', 'x=61,', 'y=23,', 'width=11,', 'height=20]']
[51, 'area=93', 'Roi[Traced,', 'x=149,', 'y=23,', 'width=10,', 'height=15]']
[52, 'area=12', 'Roi[Traced,', 'x=296,', 'y=23,', 'width=4,', 'height=4]']
[53, 'area=44', 'Roi[Traced,', 'x=11,', 'y=24,', 'width=9,', 'height=7]']
[54, 'area=291', 'Roi[Traced,', 'x=427,', 'y=24,', 'width=28,', 'height=17]']
[55, 'area=44', 'Roi[Traced,', 'x=98,', 'y=25,', 'width=9,', 'height=6]']
[56, 'area=27', 'Roi[Traced,', 'x=220,', 'y=25,', 'width=6,', 'height=5]']
[57, 'area=117', 'Roi[Traced,', 'x=411,', 'y=25,', 'width=15,', 'height=11]']
[58, 'area=132', 'Roi[Traced,', 'x=300,', 'y=26,', 'width=18,', 'height=12]']
[59, 'area=26', 'Roi[Traced,', 'x=25,', 'y=27,', 'width=7,', 'height=5]']
[60, 'area=22', 'Roi[Traced,', 'x=338,', 'y=29,', 'width=7,', 'height=5]']
[61, 'area=138', 'Roi[Traced,', 'x=237,', 'y=30,', 'width=17,', 'height=13]']
[62, 'area=3', 'Roi[Traced,', 'x=256,', 'y=30,', 'width=2,', 'height=2]']
[63, 'area=27', 'Roi[Traced,', 'x=394,', 'y=30,', 'width=6,', 'height=6]']
[64, 'area=203', 'Roi[Traced,', 'x=463,', 'y=30,', 'width=20,', 'height=14]']
[65, 'area=32', 'Roi[Traced,', 'x=74,', 'y=31,', 'width=6,', 'height=7]']
[66, 'area=23', 'Roi[Traced,', 'x=182,', 'y=31,', 'width=6,', 'height=5]']
[67, 'area=221', 'Roi[Traced,', 'x=355,', 'y=31,', 'width=17,', 'height=18]']
[68, 'area=104', 'Roi[Traced,', 'x=33,', 'y=32,', 'width=16,', 'height=9]']
[69, 'area=55', 'Roi[Traced,', 'x=112,', 'y=34,', 'width=8,', 'height=9]']
[70, 'area=71', 'Roi[Traced,', 'x=98,', 'y=35,', 'width=8,', 'height=11]']
[71, 'area=156', 'Roi[Traced,', 'x=139,', 'y=36,', 'width=14,', 'height=22]']
[72, 'area=30', 'Roi[Traced,', 'x=224,', 'y=36,', 'width=8,', 'height=5]']
[73, 'area=86', 'Roi[Traced,', 'x=324,', 'y=36,', 'width=14,', 'height=9]']
[74, 'area=24', 'Roi[Traced,', 'x=4,', 'y=37,', 'width=6,', 'height=5]']
[75, 'area=3', 'Roi[Traced,', 'x=12,', 'y=37,', 'width=2,', 'height=2]']
[76, 'area=51', 'Roi[Traced,', 'x=339,', 'y=37,', 'width=10,', 'height=7]']
[77, 'area=228', 'Roi[Traced,', 'x=408,', 'y=37,', 'width=26,', 'height=17]']
[78, 'area=115', 'Roi[Traced,', 'x=376,', 'y=38,', 'width=16,', 'height=12]']
[79, 'area=157', 'Roi[Traced,', 'x=261,', 'y=39,', 'width=19,', 'height=14]']
[80, 'area=32', 'Roi[Traced,', 'x=300,', 'y=39,', 'width=9,', 'height=6]']
[81, 'area=99', 'Roi[Traced,', 'x=391,', 'y=39,', 'width=13,', 'height=11]']
[82, 'area=54', 'Roi[Traced,', 'x=84,', 'y=40,', 'width=9,', 'height=9]']
[83, 'area=54', 'Roi[Traced,', 'x=216,', 'y=40,', 'width=10,', 'height=10]']
[84, 'area=110', 'Roi[Traced,', 'x=441,', 'y=40,', 'width=19,', 'height=9]']
[85, 'area=225', 'Roi[Traced,', 'x=12,', 'y=41,', 'width=23,', 'height=18]']
[86, 'area=54', 'Roi[Traced,', 'x=107,', 'y=41,', 'width=8,', 'height=9]']
[87, 'area=8', 'Roi[Traced,', 'x=284,', 'y=41,', 'width=3,', 'height=5]']
[88, 'area=120', 'Roi[Traced,', 'x=152,', 'y=43,', 'width=14,', 'height=15]']
[89, 'area=27', 'Roi[Traced,', 'x=233,', 'y=43,', 'width=7,', 'height=7]']
[90, 'area=22', 'Roi[Traced,', 'x=255,', 'y=43,', 'width=5,', 'height=6]']
[91, 'area=129', 'Roi[Traced,', 'x=194,', 'y=44,', 'width=14,', 'height=11]']
[92, 'area=79', 'Roi[Traced,', 'x=0,', 'y=45,', 'width=11,', 'height=12]']
[93, 'area=11', 'Roi[Traced,', 'x=134,', 'y=45,', 'width=4,', 'height=4]']
[94, 'area=31', 'Roi[Traced,', 'x=41,', 'y=46,', 'width=9,', 'height=5]']
[95, 'area=67', 'Roi[Traced,', 'x=94,', 'y=46,', 'width=11,', 'height=10]']
[96, 'area=272', 'Roi[Traced,', 'x=437,', 'y=48,', 'width=23,', 'height=19]']
[97, 'area=63', 'Roi[Traced,', 'x=53,', 'y=49,', 'width=11,', 'height=9]']
[98, 'area=29', 'Roi[Traced,', 'x=168,', 'y=49,', 'width=6,', 'height=6]']
[99, 'area=61', 'Roi[Traced,', 'x=65,', 'y=50,', 'width=10,', 'height=8]']
[100, 'area=26', 'Roi[Traced,', 'x=280,', 'y=50,', 'width=6,', 'height=7]']
[101, 'area=46', 'Roi[Traced,', 'x=295,', 'y=50,', 'width=9,', 'height=7]']
[102, 'area=222', 'Roi[Traced,', 'x=299,', 'y=50,', 'width=21,', 'height=18]']
[103, 'area=28', 'Roi[Traced,', 'x=338,', 'y=50,', 'width=6,', 'height=7]']
[104, 'area=60', 'Roi[Traced,', 'x=108,', 'y=51,', 'width=8,', 'height=9]']
[105, 'area=202', 'Roi[Traced,', 'x=473,', 'y=51,', 'width=15,', 'height=18]']
[106, 'area=87', 'Roi[Traced,', 'x=36,', 'y=52,', 'width=11,', 'height=12]']
[107, 'area=62', 'Roi[Traced,', 'x=91,', 'y=54,', 'width=10,', 'height=8]']
[108, 'area=24', 'Roi[Traced,', 'x=119,', 'y=54,', 'width=5,', 'height=6]']
[109, 'area=134', 'Roi[Traced,', 'x=361,', 'y=54,', 'width=17,', 'height=13]']
[110, 'area=9', 'Roi[Traced,', 'x=192,', 'y=56,', 'width=4,', 'height=4]']
[111, 'area=7', 'Roi[Traced,', 'x=434,', 'y=57,', 'width=3,', 'height=3]']
[112, 'area=125', 'Roi[Traced,', 'x=53,', 'y=58,', 'width=13,', 'height=13]']
[113, 'area=230', 'Roi[Traced,', 'x=165,', 'y=58,', 'width=23,', 'height=16]']
[114, 'area=8', 'Roi[Traced,', 'x=199,', 'y=58,', 'width=4,', 'height=3]']
[115, 'area=25', 'Roi[Traced,', 'x=287,', 'y=58,', 'width=6,', 'height=5]']
[116, 'area=140', 'Roi[Traced,', 'x=411,', 'y=59,', 'width=16,', 'height=12]']
[117, 'area=325', 'Roi[Traced,', 'x=451,', 'y=59,', 'width=30,', 'height=19]']
[118, 'area=120', 'Roi[Traced,', 'x=77,', 'y=61,', 'width=14,', 'height=14]']
[119, 'area=25', 'Roi[Traced,', 'x=116,', 'y=61,', 'width=6,', 'height=6]']
[120, 'area=89', 'Roi[Traced,', 'x=153,', 'y=61,', 'width=11,', 'height=17]']
[121, 'area=105', 'Roi[Traced,', 'x=0,', 'y=62,', 'width=13,', 'height=13]']
[122, 'area=103', 'Roi[Traced,', 'x=102,', 'y=62,', 'width=10,', 'height=16]']
[123, 'area=39', 'Roi[Traced,', 'x=385,', 'y=62,', 'width=8,', 'height=7]']
[124, 'area=79', 'Roi[Traced,', 'x=92,', 'y=63,', 'width=9,', 'height=11]']
[125, 'area=240', 'Roi[Traced,', 'x=393,', 'y=63,', 'width=19,', 'height=21]']
[126, 'area=17', 'Roi[Traced,', 'x=46,', 'y=64,', 'width=5,', 'height=5]']
[127, 'area=135', 'Roi[Traced,', 'x=285,', 'y=64,', 'width=17,', 'height=11]']
[128, 'area=215', 'Roi[Traced,', 'x=61,', 'y=65,', 'width=14,', 'height=23]']
[129, 'area=95', 'Roi[Traced,', 'x=274,', 'y=66,', 'width=11,', 'height=11]']
[130, 'area=122', 'Roi[Traced,', 'x=208,', 'y=67,', 'width=14,', 'height=13]']
[131, 'area=3', 'Roi[Traced,', 'x=43,', 'y=68,', 'width=2,', 'height=2]']
[132, 'area=205', 'Roi[Traced,', 'x=300,', 'y=68,', 'width=25,', 'height=14]']
[133, 'area=108', 'Roi[Traced,', 'x=12,', 'y=69,', 'width=16,', 'height=11]']
[134, 'area=213', 'Roi[Traced,', 'x=431,', 'y=69,', 'width=20,', 'height=16]']
