[0, '=72', 'Roi[Traced,', 'x=7,', 'y=0,', 'width=9,', 'height=13]']
[1, '=69', 'Roi[Traced,', 'x=29,', 'y=0,', 'width=11,', 'height=8]']
[2, '=14', 'Roi[Traced,', 'x=80,', 'y=0,', 'width=8,', 'height=2]']
[3, '=44', 'Roi[Traced,', 'x=96,', 'y=0,', 'width=11,', 'height=9]']
[4, '=139', 'Roi[Traced,', 'x=134,', 'y=0,', 'width=15,', 'height=14]']
[5, '=79', 'Roi[Traced,', 'x=160,', 'y=0,', 'width=18,', 'height=6]']
[6, '=130', 'Roi[Traced,', 'x=187,', 'y=0,', 'width=14,', 'height=13]']
[7, '=184', 'Roi[Traced,', 'x=219,', 'y=0,', 'width=19,', 'height=20]']
[8, '=299', 'Roi[Traced,', 'x=248,', 'y=0,', 'width=23,', 'height=28]']
[9, '=24', 'Roi[Traced,', 'x=271,', 'y=0,', 'width=6,', 'height=5]']
[10, '=67', 'Roi[Traced,', 'x=281,', 'y=0,', 'width=11,', 'height=8]']
[11, '=33', 'Roi[Traced,', 'x=311,', 'y=0,', 'width=9,', 'height=8]']
[12, '=19', 'Roi[Traced,', 'x=330,', 'y=0,', 'width=10,', 'height=3]']
[13, '=70', 'Roi[Traced,', 'x=347,', 'y=0,', 'width=9,', 'height=9]']
[14, '=27', 'Roi[Traced,', 'x=363,', 'y=0,', 'width=9,', 'height=5]']
[15, '=157', 'Roi[Traced,', 'x=395,', 'y=0,', 'width=19,', 'height=15]']
[16, '=59', 'Roi[Traced,', 'x=420,', 'y=0,', 'width=9,', 'height=9]']
[17, '=61', 'Roi[Traced,', 'x=432,', 'y=0,', 'width=10,', 'height=7]']
[18, '=34', 'Roi[Traced,', 'x=448,', 'y=0,', 'width=17,', 'height=3]']
[19, '=316', 'Roi[Traced,', 'x=492,', 'y=0,', 'width=37,', 'height=18]']
[20, '=149', 'Roi[Traced,', 'x=595,', 'y=0,', 'width=12,', 'height=18]']
[21, '=144', 'Roi[Traced,', 'x=605,', 'y=0,', 'width=15,', 'height=16]']
[22, '=466', 'Roi[Traced,', 'x=614,', 'y=0,', 'width=36,', 'height=33]']
[23, '=46', 'Roi[Traced,', 'x=643,', 'y=0,', 'width=7,', 'height=9]']
[24, '=8', 'Roi[Traced,', 'x=61,', 'y=1,', 'width=3,', 'height=4]']
[25, '=64', 'Roi[Traced,', 'x=113,', 'y=2,', 'width=10,', 'height=9]']
[26, '=211', 'Roi[Traced,', 'x=293,', 'y=2,', 'width=21,', 'height=16]']
