[0, '=7867', 'Roi[Traced,', 'x=1000,', 'y=1000,', 'width=499,', 'height=500]']
[1, '=7887', 'Roi[Traced,', 'x=1500,', 'y=1000,', 'width=501,', 'height=500]']
[2, '=7867', 'Roi[Traced,', 'x=2010,', 'y=1000,', 'width=499,', 'height=500]']
[3, '=7887', 'Roi[Traced,', 'x=2510,', 'y=1000,', 'width=501,', 'height=500]']
[4, '=7867', 'Roi[Traced,', 'x=3020,', 'y=1000,', 'width=499,', 'height=500]']
[5, '=7887', 'Roi[Traced,', 'x=3520,', 'y=1000,', 'width=501,', 'height=500]']
[6, '=7867', 'Roi[Traced,', 'x=4030,', 'y=1000,', 'width=499,', 'height=500]']
[7, '=7887', 'Roi[Traced,', 'x=4530,', 'y=1000,', 'width=501,', 'height=500]']
[8, '=786449', 'Roi[Traced,', 'x=5500,', 'y=1000,', 'width=1001,', 'height=1001]']
[9, '=786449', 'Roi[Traced,', 'x=6510,', 'y=1000,', 'width=1001,', 'height=1001]']
[10, '=786449', 'Roi[Traced,', 'x=7520,', 'y=1000,', 'width=1001,', 'height=1001]']
[11, '=786449', 'Roi[Traced,', 'x=8530,', 'y=1000,', 'width=1001,', 'height=1001]']
[12, '=7877', 'Roi[Traced,', 'x=1000,', 'y=1501,', 'width=500,', 'height=500]']
[13, '=7877', 'Roi[Traced,', 'x=1501,', 'y=1501,', 'width=500,', 'height=500]']
[14, '=7877', 'Roi[Traced,', 'x=2010,', 'y=1501,', 'width=500,', 'height=500]']
[15, '=7877', 'Roi[Traced,', 'x=2511,', 'y=1501,', 'width=500,', 'height=500]']
[16, '=7877', 'Roi[Traced,', 'x=3020,', 'y=1501,', 'width=500,', 'height=500]']
[17, '=7877', 'Roi[Traced,', 'x=3521,', 'y=1501,', 'width=500,', 'height=500]']
[18, '=7877', 'Roi[Traced,', 'x=4030,', 'y=1501,', 'width=500,', 'height=500]']
[19, '=7877', 'Roi[Traced,', 'x=4531,', 'y=1501,', 'width=500,', 'height=500]']
