[0, 'area=2836', 'Roi[Traced,', 'x=100,', 'y=100,', 'width=101,', 'height=101]']
[1, 'area=2836', 'Roi[Traced,', 'x=210,', 'y=100,', 'width=101,', 'height=101]']
[2, 'area=2836', 'Roi[Traced,', 'x=320,', 'y=100,', 'width=101,', 'height=101]']
[3, 'area=2836', 'Roi[Traced,', 'x=430,', 'y=100,', 'width=101,', 'height=101]']
[4, 'area=2836', 'Roi[Traced,', 'x=540,', 'y=100,', 'width=101,', 'height=101]']
[5, 'area=2836', 'Roi[Traced,', 'x=650,', 'y=100,', 'width=101,', 'height=101]']
[6, 'area=2836', 'Roi[Traced,', 'x=760,', 'y=100,', 'width=101,', 'height=101]']
[7, 'area=2836', 'Roi[Traced,', 'x=870,', 'y=100,', 'width=101,', 'height=101]']
[8, 'area=2836', 'Roi[Traced,', 'x=980,', 'y=100,', 'width=101,', 'height=101]']
[9, 'area=2836', 'Roi[Traced,', 'x=1090,', 'y=100,', 'width=101,', 'height=101]']
[10, 'area=2836', 'Roi[Traced,', 'x=1200,', 'y=100,', 'width=101,', 'height=101]']
[11, 'area=2836', 'Roi[Traced,', 'x=1310,', 'y=100,', 'width=101,', 'height=101]']
[12, 'area=2836', 'Roi[Traced,', 'x=1420,', 'y=100,', 'width=101,', 'height=101]']
[13, 'area=2836', 'Roi[Traced,', 'x=1530,', 'y=100,', 'width=101,', 'height=101]']
[14, 'area=2836', 'Roi[Traced,', 'x=1640,', 'y=100,', 'width=101,', 'height=101]']
[15, 'area=2836', 'Roi[Traced,', 'x=1750,', 'y=100,', 'width=101,', 'height=101]']
[16, 'area=2836', 'Roi[Traced,', 'x=1860,', 'y=100,', 'width=101,', 'height=101]']
[17, 'area=2836', 'Roi[Traced,', 'x=1970,', 'y=100,', 'width=101,', 'height=101]']
[18, 'area=2836', 'Roi[Traced,', 'x=2080,', 'y=100,', 'width=101,', 'height=101]']
[19, 'area=2836', 'Roi[Traced,', 'x=2190,', 'y=100,', 'width=101,', 'height=101]']
[20, 'area=2836', 'Roi[Traced,', 'x=2300,', 'y=100,', 'width=101,', 'height=101]']
[21, 'area=2836', 'Roi[Traced,', 'x=2410,', 'y=100,', 'width=101,', 'height=101]']
[22, 'area=2836', 'Roi[Traced,', 'x=2520,', 'y=100,', 'width=101,', 'height=101]']
[23, 'area=2836', 'Roi[Traced,', 'x=2630,', 'y=100,', 'width=101,', 'height=101]']
[24, 'area=2836', 'Roi[Traced,', 'x=2740,', 'y=100,', 'width=101,', 'height=101]']
[25, 'area=2836', 'Roi[Traced,', 'x=2850,', 'y=100,', 'width=101,', 'height=101]']
[26, 'area=2836', 'Roi[Traced,', 'x=2960,', 'y=100,', 'width=101,', 'height=101]']
[27, 'area=2836', 'Roi[Traced,', 'x=3070,', 'y=100,', 'width=101,', 'height=101]']
[28, 'area=2836', 'Roi[Traced,', 'x=3180,', 'y=100,', 'width=101,', 'height=101]']
[29, 'area=2836', 'Roi[Traced,', 'x=3290,', 'y=100,', 'width=101,', 'height=101]']
[30, 'area=2836', 'Roi[Traced,', 'x=3400,', 'y=100,', 'width=101,', 'height=101]']
[31, 'area=2836', 'Roi[Traced,', 'x=3510,', 'y=100,', 'width=101,', 'height=101]']
[32, 'area=2836', 'Roi[Traced,', 'x=3620,', 'y=100,', 'width=101,', 'height=101]']
[33, 'area=2836', 'Roi[Traced,', 'x=3730,', 'y=100,', 'width=101,', 'height=101]']
[34, 'area=2836', 'Roi[Traced,', 'x=3840,', 'y=100,', 'width=101,', 'height=101]']
[35, 'area=2836', 'Roi[Traced,', 'x=3950,', 'y=100,', 'width=101,', 'height=101]']
[36, 'area=2836', 'Roi[Traced,', 'x=4060,', 'y=100,', 'width=101,', 'height=101]']
[37, 'area=2836', 'Roi[Traced,', 'x=4170,', 'y=100,', 'width=101,', 'height=101]']
[38, 'area=2836', 'Roi[Traced,', 'x=4280,', 'y=100,', 'width=101,', 'height=101]']
[39, 'area=2836', 'Roi[Traced,', 'x=4390,', 'y=100,', 'width=101,', 'height=101]']
[40, 'area=2836', 'Roi[Traced,', 'x=4500,', 'y=100,', 'width=101,', 'height=101]']
[41, 'area=2836', 'Roi[Traced,', 'x=4610,', 'y=100,', 'width=101,', 'height=101]']
[42, 'area=2836', 'Roi[Traced,', 'x=4720,', 'y=100,', 'width=101,', 'height=101]']
[43, 'area=2836', 'Roi[Traced,', 'x=4830,', 'y=100,', 'width=101,', 'height=101]']
[44, 'area=2836', 'Roi[Traced,', 'x=4940,', 'y=100,', 'width=101,', 'height=101]']
[45, 'area=8013', 'Roi[Traced,', 'x=5050,', 'y=100,', 'width=101,', 'height=101]']
[46, 'area=8013', 'Roi[Traced,', 'x=5160,', 'y=100,', 'width=101,', 'height=101]']
[47, 'area=8013', 'Roi[Traced,', 'x=5270,', 'y=100,', 'width=101,', 'height=101]']
[48, 'area=8013', 'Roi[Traced,', 'x=5380,', 'y=100,', 'width=101,', 'height=101]']
[49, 'area=8013', 'Roi[Traced,', 'x=5490,', 'y=100,', 'width=101,', 'height=101]']
[50, 'area=8013', 'Roi[Traced,', 'x=5600,', 'y=100,', 'width=101,', 'height=101]']
[51, 'area=8013', 'Roi[Traced,', 'x=5710,', 'y=100,', 'width=101,', 'height=101]']
[52, 'area=8013', 'Roi[Traced,', 'x=5820,', 'y=100,', 'width=101,', 'height=101]']
[53, 'area=8013', 'Roi[Traced,', 'x=5930,', 'y=100,', 'width=101,', 'height=101]']
[54, 'area=8013', 'Roi[Traced,', 'x=6040,', 'y=100,', 'width=101,', 'height=101]']
[55, 'area=8013', 'Roi[Traced,', 'x=6150,', 'y=100,', 'width=101,', 'height=101]']
[56, 'area=8013', 'Roi[Traced,', 'x=6260,', 'y=100,', 'width=101,', 'height=101]']
[57, 'area=8013', 'Roi[Traced,', 'x=6370,', 'y=100,', 'width=101,', 'height=101]']
[58, 'area=8013', 'Roi[Traced,', 'x=6480,', 'y=100,', 'width=101,', 'height=101]']
[59, 'area=8013', 'Roi[Traced,', 'x=6590,', 'y=100,', 'width=101,', 'height=101]']
[60, 'area=8013', 'Roi[Traced,', 'x=6700,', 'y=100,', 'width=101,', 'height=101]']
[61, 'area=8013', 'Roi[Traced,', 'x=6810,', 'y=100,', 'width=101,', 'height=101]']
[62, 'area=8013', 'Roi[Traced,', 'x=6920,', 'y=100,', 'width=101,', 'height=101]']
[63, 'area=8013', 'Roi[Traced,', 'x=7030,', 'y=100,', 'width=101,', 'height=101]']
[64, 'area=8013', 'Roi[Traced,', 'x=7140,', 'y=100,', 'width=101,', 'height=101]']
[65, 'area=8013', 'Roi[Traced,', 'x=7250,', 'y=100,', 'width=101,', 'height=101]']
[66, 'area=8013', 'Roi[Traced,', 'x=7360,', 'y=100,', 'width=101,', 'height=101]']
[67, 'area=8013', 'Roi[Traced,', 'x=7470,', 'y=100,', 'width=101,', 'height=101]']
[68, 'area=8013', 'Roi[Traced,', 'x=7580,', 'y=100,', 'width=101,', 'height=101]']
[69, 'area=8013', 'Roi[Traced,', 'x=7690,', 'y=100,', 'width=101,', 'height=101]']
[70, 'area=8013', 'Roi[Traced,', 'x=7800,', 'y=100,', 'width=101,', 'height=101]']
[71, 'area=8013', 'Roi[Traced,', 'x=7910,', 'y=100,', 'width=101,', 'height=101]']
[72, 'area=8013', 'Roi[Traced,', 'x=8020,', 'y=100,', 'width=101,', 'height=101]']
[73, 'area=8013', 'Roi[Traced,', 'x=8130,', 'y=100,', 'width=101,', 'height=101]']
[74, 'area=8013', 'Roi[Traced,', 'x=8240,', 'y=100,', 'width=101,', 'height=101]']
[75, 'area=8013', 'Roi[Traced,', 'x=8350,', 'y=100,', 'width=101,', 'height=101]']
[76, 'area=8013', 'Roi[Traced,', 'x=8460,', 'y=100,', 'width=101,', 'height=101]']
[77, 'area=8013', 'Roi[Traced,', 'x=8570,', 'y=100,', 'width=101,', 'height=101]']
[78, 'area=8013', 'Roi[Traced,', 'x=8680,', 'y=100,', 'width=101,', 'height=101]']
[79, 'area=8013', 'Roi[Traced,', 'x=8790,', 'y=100,', 'width=101,', 'height=101]']
[80, 'area=8013', 'Roi[Traced,', 'x=8900,', 'y=100,', 'width=101,', 'height=101]']
[81, 'area=8013', 'Roi[Traced,', 'x=9010,', 'y=100,', 'width=101,', 'height=101]']
[82, 'area=8013', 'Roi[Traced,', 'x=9120,', 'y=100,', 'width=101,', 'height=101]']
[83, 'area=8013', 'Roi[Traced,', 'x=9230,', 'y=100,', 'width=101,', 'height=101]']
[84, 'area=8013', 'Roi[Traced,', 'x=9340,', 'y=100,', 'width=101,', 'height=101]']
[85, 'area=8013', 'Roi[Traced,', 'x=9450,', 'y=100,', 'width=101,', 'height=101]']
[86, 'area=8013', 'Roi[Traced,', 'x=9560,', 'y=100,', 'width=101,', 'height=101]']
[87, 'area=8013', 'Roi[Traced,', 'x=9670,', 'y=100,', 'width=101,', 'height=101]']
[88, 'area=8013', 'Roi[Traced,', 'x=9780,', 'y=100,', 'width=101,', 'height=101]']
[89, 'area=8013', 'Roi[Traced,', 'x=9890,', 'y=100,', 'width=101,', 'height=101]']
[90, 'area=2836', 'Roi[Traced,', 'x=100,', 'y=210,', 'width=101,', 'height=101]']
[91, 'area=2836', 'Roi[Traced,', 'x=210,', 'y=210,', 'width=101,', 'height=101]']
[92, 'area=2836', 'Roi[Traced,', 'x=320,', 'y=210,', 'width=101,', 'height=101]']
[93, 'area=2836', 'Roi[Traced,', 'x=430,', 'y=210,', 'width=101,', 'height=101]']
[94, 'area=2836', 'Roi[Traced,', 'x=540,', 'y=210,', 'width=101,', 'height=101]']
[95, 'area=2836', 'Roi[Traced,', 'x=650,', 'y=210,', 'width=101,', 'height=101]']
[96, 'area=2836', 'Roi[Traced,', 'x=760,', 'y=210,', 'width=101,', 'height=101]']
[97, 'area=2836', 'Roi[Traced,', 'x=870,', 'y=210,', 'width=101,', 'height=101]']
[98, 'area=2836', 'Roi[Traced,', 'x=980,', 'y=210,', 'width=101,', 'height=101]']
[99, 'area=2836', 'Roi[Traced,', 'x=1090,', 'y=210,', 'width=101,', 'height=101]']
[100, 'area=2836', 'Roi[Traced,', 'x=1200,', 'y=210,', 'width=101,', 'height=101]']
[101, 'area=2836', 'Roi[Traced,', 'x=1310,', 'y=210,', 'width=101,', 'height=101]']
[102, 'area=2836', 'Roi[Traced,', 'x=1420,', 'y=210,', 'width=101,', 'height=101]']
[103, 'area=2836', 'Roi[Traced,', 'x=1530,', 'y=210,', 'width=101,', 'height=101]']
[104, 'area=2836', 'Roi[Traced,', 'x=1640,', 'y=210,', 'width=101,', 'height=101]']
[105, 'area=2836', 'Roi[Traced,', 'x=1750,', 'y=210,', 'width=101,', 'height=101]']
[106, 'area=2836', 'Roi[Traced,', 'x=1860,', 'y=210,', 'width=101,', 'height=101]']
[107, 'area=2836', 'Roi[Traced,', 'x=1970,', 'y=210,', 'width=101,', 'height=101]']
[108, 'area=2836', 'Roi[Traced,', 'x=2080,', 'y=210,', 'width=101,', 'height=101]']
[109, 'area=2836', 'Roi[Traced,', 'x=2190,', 'y=210,', 'width=101,', 'height=101]']
[110, 'area=2836', 'Roi[Traced,', 'x=2300,', 'y=210,', 'width=101,', 'height=101]']
[111, 'area=2836', 'Roi[Traced,', 'x=2410,', 'y=210,', 'width=101,', 'height=101]']
[112, 'area=2836', 'Roi[Traced,', 'x=2520,', 'y=210,', 'width=101,', 'height=101]']
[113, 'area=2836', 'Roi[Traced,', 'x=2630,', 'y=210,', 'width=101,', 'height=101]']
[114, 'area=2836', 'Roi[Traced,', 'x=2740,', 'y=210,', 'width=101,', 'height=101]']
[115, 'area=2836', 'Roi[Traced,', 'x=2850,', 'y=210,', 'width=101,', 'height=101]']
[116, 'area=2836', 'Roi[Traced,', 'x=2960,', 'y=210,', 'width=101,', 'height=101]']
[117, 'area=2836', 'Roi[Traced,', 'x=3070,', 'y=210,', 'width=101,', 'height=101]']
[118, 'area=2836', 'Roi[Traced,', 'x=3180,', 'y=210,', 'width=101,', 'height=101]']
[119, 'area=2836', 'Roi[Traced,', 'x=3290,', 'y=210,', 'width=101,', 'height=101]']
[120, 'area=2836', 'Roi[Traced,', 'x=3400,', 'y=210,', 'width=101,', 'height=101]']
[121, 'area=2836', 'Roi[Traced,', 'x=3510,', 'y=210,', 'width=101,', 'height=101]']
[122, 'area=2836', 'Roi[Traced,', 'x=3620,', 'y=210,', 'width=101,', 'height=101]']
[123, 'area=2836', 'Roi[Traced,', 'x=3730,', 'y=210,', 'width=101,', 'height=101]']
[124, 'area=2836', 'Roi[Traced,', 'x=3840,', 'y=210,', 'width=101,', 'height=101]']
[125, 'area=2836', 'Roi[Traced,', 'x=3950,', 'y=210,', 'width=101,', 'height=101]']
[126, 'area=2836', 'Roi[Traced,', 'x=4060,', 'y=210,', 'width=101,', 'height=101]']
[127, 'area=2836', 'Roi[Traced,', 'x=4170,', 'y=210,', 'width=101,', 'height=101]']
[128, 'area=2836', 'Roi[Traced,', 'x=4280,', 'y=210,', 'width=101,', 'height=101]']
[129, 'area=2836', 'Roi[Traced,', 'x=4390,', 'y=210,', 'width=101,', 'height=101]']
[130, 'area=2836', 'Roi[Traced,', 'x=4500,', 'y=210,', 'width=101,', 'height=101]']
